ESTABLISHMENT_ID,ESTABLISHMENT_NAME,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_NEIGHBORHOOD
10492045,CONCESSION STAND - EAST SIDE,50 CARLTON ST,Pelmo Park-Humberlea
10616524,NORLING,1512 QUEEN ST W,Stonegate-Queensway
10613910,FIVE 2 FIVE GRILL HOUSE & PUB,525 MOUNT PLEASANT RD,Forest Hill South
9007848,JOE'S FOOD DISTRIBUTORS,24 STEINWAY BLVD,Banbury-Don Mills
10435484,YORKLAND CAFE,200 YORKLAND BLVD,Leaside-Bennington
9402904,THE APPLE CAFE,840 COXWELL AVE,Princess-Rosethorn
10576712,I-MINGOO,5418 YONGE ST,Yonge-St.Clair
10563614,OKA SUSHI,123 QUEEN ST W,Wychwood
10385738,DE LA MER,1543 BAYVIEW AVE,Scarborough Village
10404958,MR. CONGEE,2900 WARDEN AVE,Little Portugal
10613716,FAIR MART,401 VAUGHAN RD,Eringate-Centennial-West Deane
10391301,PETRO CANADA,90 THE QUEENSWAY,Cabbagetown-South St.James Town
10588738,BULK BARN,2290 BLOOR ST W,O'Connor-Parkview
10583211,SHABESTAN CAFE,6123 YONGE ST,Morningside
10307542,LUCKY VARIETY STORE,2304 KEELE ST,Oakridge
9048382,PATTIE WORLD BAKERY,86 GUIDED CRT,Banbury-Don Mills
9007968,JUMBO EMPANADAS,245 AUGUSTA AVE,Bayview Village
10578137,"Zam Zam Pizza, Kabob and Shawarma",2655 LAWRENCE AVE E,Runnymede-Bloor West Village
9015968,THE PLATINUM CLUB,40 BAY ST,St.Andrew-Windfields
10325505,HARBOUR GREEN FARM,650 QUEENS QUAY  W,North Riverdale
9008340,KITCHEN FOOD FAIR III,1051 STEELES AVE W,Victoria Village
10380872,DE KEFIR,333 BAY ST,Wychwood
10594986,BASKIN ROBBINS,726 BLOOR ST W,Oakwood Village
10459186,Tim Hortons,941 PROGRESS AVE,Beechborough-Greenbrook
10493006,WILDFIRE,8 COLBORNE ST,Pelmo Park-Humberlea
10636971,LUCKY GARDEN,2483 FINCH AVE W,Humber Summit
10360984,PLANTERS - JOHN VINCE FOODS,4420 CHESSWOOD DR,Mount Olive-Silverstone-Jamestown
10550130,YUMMY DUMPLING HOUSE,5 NORTHTOWN WAY,Casa Loma
10582311,GERRARD TUCK SHOP,40 GERRARD ST E,Pelmo Park-Humberlea
10412660,HOLY CHUCK,1450 YONGE ST,West Humber-Clairville
10493723,COFFEE TIME,3701 CHESSWOOD DR,Mount Olive-Silverstone-Jamestown
9334571,EVERGREEN NATURAL FOODS,161 RONCESVALLES AVE,Woodbine-Lumsden
10423394,PEROLA'S,247 AUGUSTA AVE,Bayview Village
9000432,ALBION CINEMAS II,1530 ALBION RD,Mount Pleasant East
10368869,S CAFE,367 DONLANDS AVE,Newtonbrook East
10643550,CLUCK CLUCKS,609 QUEEN ST W,St.Andrew-Windfields
10634015,IMPACT KITCHEN,444 ADELAIDE ST W,St.Andrew-Windfields
9004063,DEARHAM WOOD DAYCARE CENTRE,66 DEARHAM WOOD,Willowdale West
10554107,A & W,496 YONGE ST,Wychwood
9418275,POONS EXPRESS,1927 WESTON RD,Wexford/Maryvale
10395625,UMI SUSHI EXPRESS,100 WELLINGTON ST W,Wychwood
10450956,SECOND CUP,255 FRONT ST W,St.Andrew-Windfields
10572477,PI CO.,1200 BAY ST,Broadview North
10492181,TIM HORTONS,85 LAIRD DR,Edenbridge-Humber Valley
10429058,DOLCE CAMERATA DESSERT CAFFE,6464 YONGE ST,Playter Estates-Danforth
10608928,Shaanxi Legend,3250 MIDLAND AVE,West Hill
10570216,JUSLAM VARIETY,256 MARLEE AVE,Rexdale-Kipling
10463404,NYAD PROGRESS,939 PROGRESS AVE,Beechborough-Greenbrook
10466559,CRAVE GRILL HOUSE,25 WOODBINE DOWNS BLVD,Banbury-Don Mills
10489578,PIZZA PIZZA,796 O'CONNOR DR,Bayview Woods-Steeles
10568760,CHELSEA'S FILIPINO CUISINE,1027 PAPE AVE,Princess-Rosethorn
10591798,OMNI KING EDWARD CRYSTAL BALLROOM,37 KING ST E,Pelmo Park-Humberlea
10384417,FOOD BASICS #631,853 JANE ST,Steeles
10530465,MASHITA SUSHI N ROLL,260 MANITOBA ST,Milliken
10406130,SPARKLING FRESH WATER,1722 JANE ST,Wexford/Maryvale
9007634,JADE EAST CHINESE FOOD,2883 JANE ST,Westminster-Branson
10288961,THE WESTBURY LONG TERM CARE RESIDENCE,495 THE WEST MALL,Clanton Park
10380252,WOODBINE RACE TRACK - THE TENT,555 REXDALE BLVD,Banbury-Don Mills
10214513,GARDERIE LA FARANDOLE FELIX-LECLERC,50 CELESTINE DR,Rockcliffe-Smythe
9030261,CINEPLEX ODEON (EAST CONCESSION),1025 THE QUEENSWAY,Markland Wood
10394445,CAPRI TUCK SHOP,5 CAPRI RD,Markland Wood
10450392,FRESH PIZZA PLUS,2240 LAKE SHORE BLVD W,Milliken
9071548,SUN FA RESTAURANT,1485 QUEEN ST W,Stonegate-Queensway
9031988,HILTON EXECUTIVE LOUNGE,145 RICHMOND ST W,Wychwood
10292878,RICHMOND ADELAIDE CHILD CARE CENTRE,130 ADELAIDE ST W,Wychwood
10644007,CAFE BRUNCH STORY,874 EGLINTON AVE E,Scarborough Village
10477691,Koshi Japan,1700 WILSON AVE,Corso Italia-Davenport
10518374,GRANITE BISTRO,240 DUNCAN MILL RD,New Toronto
10592793,CARIBBEAN COVE,3585 KEELE ST,Mount Olive-Silverstone-Jamestown
10242395,OSC - VALLEY MARKET PLACE,770 DON MILLS RD,Downsview-Roding-CFB
10561294,THAI FANTASY,578 YONGE ST,Wychwood
10546279,PIER FOOD SHOPPE,2045 LAKE SHORE BLVD W,Milliken
10213033,HOME BURGER,1 CENTRE ST,Kingsway South
9015991,THE RESERVOIR LOUNGE,52 WELLINGTON ST E,Pelmo Park-Humberlea
10556231,IQ FOOD CO,77 ADELAIDE ST W,Wychwood
10389729,STARBUCKS COFFEE,657 DUPONT ST,Broadview North
9021151,FROZEN YOGURT STOP,8 WESTMORE DR,Banbury-Don Mills
10286265,TOPCLIFF STUDENT NUTRITION CENTRE,65 TOPCLIFF AVE,Westminster-Branson
9048591,KWOK CHEUNG NOODLE& FOOD LIMITED,20 MELHAM CRT,Cliffcrest
10643190,Hungarian Canadian Cultural Centre,32 BERMONDSEY RD,Bayview Woods-Steeles
10263306,GEN CONVENIENCE,33 UNIVERSITY AVE,Wychwood
10290106,PROHIBITION GASTRO PUB AND OYSTER BAR,696 QUEEN ST E,Mimico
10353612,GA BIN KOREAN RESTAURANT,633 SILVER STAR BLVD,West Hill
10229359,TARTS TREATS & COFFEE,1700 SHEPPARD AVE E,Tam O'Shanter-Sullivan
10433840,Giggles Playland Inc.,70 MILNER AVE,Trinity-Bellwoods
10610637,MR SUB,883 JANE ST,Steeles
10582626,THE CAPTAIN'S BOIL,226 QUEEN ST W,Malvern
10361482,PIZZA PIZZA,104 MARKHAM RD,Kingsway South
10640940,ROSEWOOD ASIAN CUISINE,463 DUNDAS ST W,Bayview Village
10501193,RIVERSIDE MARKET,720 QUEEN ST E,Mimico
10563022,JINYA RAMEN BAR,399 CHURCH ST,Pelmo Park-Humberlea
10484612,DR. NORMAN BETHUNE,200 FUNDY BAY BLVD,Bendale
10513744,BUNAS KITCHEN,388 RICHMOND ST W,St.Andrew-Windfields
10578403,Papa John's,2448 KINGSTON RD,Junction Area
10501257,Variety Plus,4909 BATHURST ST,Yonge-St.Clair
10611029,CHEERS CUT,372 YONGE ST,Wychwood
10522880,QUEEN FRESH MARKET,1384 QUEEN ST W,Woodbine-Lumsden
10566811,AH-SO SUSHI,24 WELLESLEY ST W,Wychwood
10591940,SUBWAY,3560 LAKE SHORE BLVD W,Birchcliffe-Cliffside
10522428,ODIN HUS,510 KING ST E,Malvern
10574916,Pizza Nova,6015 STEELES AVE E,West Hill
10609958,AROMA ESPRESSO BAR,120 LYNN WILLIAMS ST,North Riverdale
9011156,NYAD - CORVETTE,30 CORVETTE AVE,Flemingdon Park
10646369,GOLDEN PATTY,187 BALDWIN ST,Bayview Village
10576372,SATAY SATE,5025 YONGE ST,Casa Loma
10306091,MR. CHEAP VARIETY,1839 AVENUE RD,Mount Dennis
